id,indiff,outdiff,pro,weight
113,0x000000f000000000,0x0000040400000404,8,4
114,0x0000000009000000,0x0000040400000404,8,4
115,0x000000000f000000,0x0000040400000404,8,4
116,0x0000000000900000,0x0000040400000404,8,4
117,0x0000000000f00000,0x0000040400000404,8,4
118,0x0000000d00000000,0x0000002200000022,8,4
119,0x0000000000d00000,0x0000020200000202,8,4
120,0x000000000d000000,0x0000020200000202,8,4
121,0x000000d000000000,0x0000020200000202,8,4
122,0x00000d0000000000,0x0000020200000202,8,4
123,0x0000070000000000,0x0000010100000101,8,4
124,0x00000f0000000000,0x0000010100000101,8,4
125,0x00000000000000d0,0x0202000000000202,8,4
126,0x00000000000000d0,0x0002000002000202,8,4
127,0x00000000000000d0,0x0200000000020202,8,4
128,0x00000000000000d0,0x0000000002020202,8,4
129,0x0000000000090000,0x0000004400000044,8,4
130,0x00000000000f0000,0x0000004400000044,8,4
131,0x0000000007000000,0x0000010100000101,8,4
132,0x000000000f000000,0x0000010100000101,8,4
133,0x00000000000b0000,0x0000800800008008,8,4
134,0x0000000b00000000,0x0000800800008008,8,4
135,0x0000000b00000000,0x0000008800000088,8,4
136,0x0000000000000009,0x0004000000400044,8,4
137,0x0000000000000009,0x0000000000440044,8,4
138,0x0000000000000009,0x0044000000000044,8,4
139,0x0000000000000009,0x0040000000040044,8,4
140,0x0000000000000009,0x4004000000004004,8,4
141,0x0000000000000009,0x4000000000044004,8,4
142,0x0000000000000009,0x0004000040004004,8,4
143,0x0000000000000009,0x0000000040044004,8,4
144,0x000000000000000f,0x0004000000400044,8,4
145,0x000000000000000f,0x0000000000440044,8,4
146,0x000000000000000f,0x0044000000000044,8,4
147,0x000000000000000f,0x0040000000040044,8,4
148,0x000000000000000f,0x4004000000004004,8,4
149,0x000000000000000f,0x4000000000044004,8,4
150,0x000000000000000f,0x0004000040004004,8,4
151,0x000000000000000f,0x0000000040044004,8,4
152,0x0000000000090000,0x0000400400004004,8,4
153,0x00000000000f0000,0x0000400400004004,8,4
154,0x0000000900000000,0x0000400400004004,8,4
155,0x0000000900000000,0x0000004400000044,8,4
156,0x0000000f00000000,0x0000400400004004,8,4
157,0x0000000f00000000,0x0000004400000044,8,4
158,0x0000000700000000,0x0000001100000011,8,4
159,0x0000000700000000,0x0000100100001001,8,4
160,0x0000000f00000000,0x0000001100000011,8,4
161,0x0000000f00000000,0x0000100100001001,8,4
162,0x0000000d00000000,0x0000200200002002,8,4
163,0xd00d000000000000,0x0200020002000200,8,4
164,0x0000000000000007,0x1001000000001001,8,4
165,0x0000000000000007,0x1000000000011001,8,4
166,0x0000000000000007,0x0000000010011001,8,4
167,0x0000000000000007,0x0001000010001001,8,4
168,0x000000000000000f,0x1001000000001001,8,4
169,0x000000000000000f,0x1000000000011001,8,4
170,0x000000000000000f,0x0000000010011001,8,4
171,0x000000000000000f,0x0001000010001001,8,4
172,0x0000000000000070,0x0101000000000101,8,4
