id,indiff,outdiff,pro,weight
152,0x00040011,0x00400011,12,3
153,0x04401004,0x04400100,12,3
154,0x04401080,0x04400100,12,3
155,0x01101400,0x01100040,12,3
156,0x08002228,0x00C00020,12,3
157,0x00111040,0x00110004,12,3
158,0x00800220,0x08000220,12,3
159,0x02200C42,0x02200080,12,3
160,0x44008001,0x44001000,12,3
161,0x01100421,0x01100040,12,3
162,0x08802000,0x08800200,12,3
163,0x00440180,0x00440010,12,3
164,0x02200C40,0x02200080,12,3
165,0x04005104,0x04400100,12,3
166,0x00404110,0x04000110,12,3
167,0x01001441,0x01100040,12,3
168,0x40040010,0x40040001,12,3
169,0x00014104,0x00104004,12,3
170,0x00014404,0x10040400,12,3
171,0x04001914,0x10400010,12,3
172,0x20008822,0x22000800,12,3
173,0x04005904,0x04400100,12,3
174,0x00082022,0x80202000,12,3
175,0x04401084,0x04400100,12,3
176,0x2000C822,0x22000800,12,3
177,0x00404111,0x00060001,12,3
178,0x00028208,0x00208008,12,3
179,0x10012014,0x10014000,12,3
180,0x00888300,0x00880020,12,3
181,0x40009005,0x44001000,12,3
182,0x00104044,0x00414000,12,3
183,0x00100044,0x01000044,12,3
184,0x00040019,0x00400011,12,3
185,0x02000888,0x00300008,12,3
186,0x2000C802,0x22000800,12,3
187,0x10012004,0x10014000,12,3
188,0x04005900,0x04400100,12,3
189,0x00100064,0x01000044,12,3
190,0x00014406,0x18000400,12,3
191,0x00028808,0x20080800,12,3
192,0x00404191,0x00060001,12,3
193,0x00808A20,0x00880020,12,3
194,0x44000005,0x44001000,12,3
195,0x40001045,0x44001000,12,3
196,0x02200C00,0x02200080,12,3
197,0x00040411,0x00400011,12,3
198,0x04001114,0x00600010,12,3
199,0x01001640,0x01100040,12,3
